id	lastpage	startlanguage	KASSENZULASSUNG[1]	KASSENZULASSUNG[2]	KASSENZULASSUNG[3]	KASSENZULASSUNG[4]	KASSENZULASSUNG[5]	PT[1]	PT[2]	PT[3]	PT[4]	PT[5]	PT2[1]	PT2[2]	KONTAKTANZAHL[SQ001]	KONTAKTANZAHL[SQ002]	KONTAKTANZAHL[SQ003]	KONTAKTANZAHLWENIG[Y001_X001]	KONTAKTANZAHLWENIG[Y001_X002]	KONTAKTANZAHLWENIG[Y001_X003]	KONTAKTANZAHLWENIG[Y002_X001]	KONTAKTANZAHLWENIG[Y002_X002]	KONTAKTANZAHLWENIG[Y002_X003]	KONTAKTANZAHLWENIG[Y003_X001]	KONTAKTANZAHLWENIG[Y003_X002]	KONTAKTANZAHLWENIG[Y003_X003]	KONTAKTANZAHLWENIG[Y004_X001]	KONTAKTANZAHLWENIG[Y004_X002]	KONTAKTANZAHLWENIG[Y004_X003]	KONTAKTANZAHLWENIG[Y005_X001]	KONTAKTANZAHLWENIG[Y005_X002]	KONTAKTANZAHLWENIG[Y005_X003]	KONTAKTANZAHLWENIG[Y006_X001]	KONTAKTANZAHLWENIG[Y006_X002]	KONTAKTANZAHLWENIG[Y006_X003]	KONTAKTANZAHLWENIG2	KONTAKTANZAHLMEHR[Y001_X001]	KONTAKTANZAHLMEHR[Y001_X002]	KONTAKTANZAHLMEHR[Y001_X003]	KONTAKTANZAHLMEHR[Y002_X001]	KONTAKTANZAHLMEHR[Y002_X002]	KONTAKTANZAHLMEHR[Y002_X003]	KONTAKTANZAHLMEHR[Y003_X001]	KONTAKTANZAHLMEHR[Y003_X002]	KONTAKTANZAHLMEHR[Y003_X003]	KONTAKTANZAHLMEHR[Y004_X001]	KONTAKTANZAHLMEHR[Y004_X002]	KONTAKTANZAHLMEHR[Y004_X003]	KONTAKTANZAHLMEHR[Y005_X001]	KONTAKTANZAHLMEHR[Y005_X002]	KONTAKTANZAHLMEHR[Y005_X003]	KONTAKTANZAHLMEHR[Y006_X001]	KONTAKTANZAHLMEHR[Y006_X002]	KONTAKTANZAHLMEHR[Y006_X003]	KONTAKTANZAHLMEHR2	PATGRUPPEN1WELLE	PATGRUPPEN1WELLE2	PATGRUPPEN2WELLE	PATGRUPPEN2WELLE2	PATGRUPPEN3WELLE	PATGRUPPEN3WELLE2	SCHWIERIGKEIT	SCHWIERIGKEIT2[Y001_X001]	SCHWIERIGKEIT2[Y001_X002]	SCHWIERIGKEIT2[Y001_X003]	SCHWIERIGKEIT2[Y002_X001]	SCHWIERIGKEIT2[Y002_X002]	SCHWIERIGKEIT2[Y002_X003]	SCHWIERIGKEIT2[Y003_X001]	SCHWIERIGKEIT2[Y003_X002]	SCHWIERIGKEIT2[Y003_X003]	SCHWIERIGKEIT2[Y004_X001]	SCHWIERIGKEIT2[Y004_X002]	SCHWIERIGKEIT2[Y004_X003]	SCHWIERIGKEIT2[Y005_X001]	SCHWIERIGKEIT2[Y005_X002]	SCHWIERIGKEIT2[Y005_X003]	SCHWIERIGKEIT2[Y006_X001]	SCHWIERIGKEIT2[Y006_X002]	SCHWIERIGKEIT2[Y006_X003]	SCHWIERIGKEIT3	PATBEHANDLUNG[1]	PATBEHANDLUNG[2]	PATBEHANDLUNG[3]	PATBEHANDLUNG[0]	FINANZEN[1]	FINANZEN[2]	FINANZEN[0]	FINANZEN[other]	KV[1]	KV[2]	KV[3]	KV[4]	KV[5]	KV2	POSITIVPAT	POSITIVPERSONAL	PRAXISSCHLIESSUNG	IMPFUNG	IMPFUNG2	EINWEISUNG[Y001]	EINWEISUNG[Y002]	EINWEISUNG[Y003]	REDUKTIONEINWEISUNG[1]	REDUKTIONEINWEISUNG[2]	REDUKTIONEINWEISUNG[3]	REDUKTIONEINWEISUNG[4]	REDUKTIONEINWEISUNG[5]	REDUKTIONEINWEISUNG[6]	REDUKTIONEINWEISUNG[7]	REDUKTIONEINWEISUNG[other]	BETREUUNG	BETREUUNG2	WENIGBESUCH[1]	WENIGBESUCH[2]	WENIGBESUCH[3]	WENIGBESUCH[4]	WENIGBESUCH[5]	WENIGBESUCH[6]	WENIGBESUCH[7]	WENIGBESUCH[8]	WENIGBESUCH[other]	EINWEISUNGHEIM	EINWEISUNGHEIM2[1]	EINWEISUNGHEIM2[2]	EINWEISUNGHEIM2[3]	EINWEISUNGHEIM2[4]	EINWEISUNGHEIM2[5]	EINWEISUNGHEIM2[6]	EINWEISUNGHEIM3[1]	EINWEISUNGHEIM3[2]	EINWEISUNGHEIM3[3]	EINWEISUNGHEIM3[4]	EINWEISUNGHEIM3[5]	EINWEISUNGHEIM3[6]	EINWEISUNGHEIM3[7]	EINWEISUNGHEIM3[8]	EINWEISUNGHEIM3[9]	TELEMED[Y001_X001]	TELEMED[Y001_X002]	TELEMED[Y001_X003]	TELEMED[Y001_X004]	TELEMED[Y001_X005]	TELEMED[Y002_X001]	TELEMED[Y002_X002]	TELEMED[Y002_X003]	TELEMED[Y002_X004]	TELEMED[Y002_X005]	TELEMED[Y003_X001]	TELEMED[Y003_X002]	TELEMED[Y003_X003]	TELEMED[Y003_X004]	TELEMED[Y003_X005]	TELEMEDPAT[SQ001]	TELEMEDPAT[SQ002]	TELEMEDPAT[SQ003]	TELEMEDPAT[SQ004]	TELEMEDPAT[SQ005]	TELEMEDPAT[SQ006]	TELEMEDPAT[SQ007]	POSTCOVID	POSTCOVID2	PSYCHOPATHO[1]	PSYCHOPATHO[2]	PSYCHOPATHO[3]	PSYCHOPATHO[4]	PSYCHOPATHO[5]	PSYCHOPATHO[6]	PSYCHOPATHO[7]	PSYCHOPATHO[8]	PSYCHOPATHO[9]	PSYCHOPATHO[10]	PSYCHOPATHO[11]	PSYCHOPATHO[12]	PSYCHOPATHO[13]	PSYCHOPATHO[14]	PSYCHOPATHO[other]	POSTCOVIDBEH[1]	POSTCOVIDBEH[2]	POSTCOVIDBEH[3]	POSTCOVIDBEH[4]	POSTCOVIDBEH[5]	POSTCOVIDBEH[6]	POSTCOVIDBEH[7]	POSTCOVIDBEH[8]	POSTCOVIDBEH[other]	GOODPRACTICE
2	9	de	Y				Y		Y				Y		2	2	2																																							0		0		0		0																							Y			Y		1	1	2	1	1		0	0				2	2	2									1	2		Y								2																		1	1				1	1		1					1	1	2	2	2	1	2	0																										
3	9	de			Y		Y	Y					Y		3	2	2	1									1			1																										0		0		0		1					1	1														Y				Y	Y			2	1	2	1	1		0	1	0	Bipolare Störungen, schwere Depressionen, Persönlichkeitsstörungen	Schriftliche Benachrichtigungen durch die Krankenkasse , Aufklärung in der Sprechstunde	1	1	4	Y	Y							1	2	Y	Y								2																		1	1				1			1					2	1	2	2	2	1	2	1	3	Y				Y	Y	Y				Y					Y	Y			Y		Y		Stationäre Diagnostik-Neuropsychologie	Durchsetzung des Terminvergabegesetzes, insbesondere der Akutsprechstunden, war nicht möglich, um überfülltes Wartezimmer  zu vermeiden.  Vermehrter zeitlicher Beratungsbedarf pro Patient  in Hinblick auf die Auswirkungen der Pandemie und zu den Impfungen.
4	9	de	Y		Y	Y									2	2	1																						1			1			1											0		0		0		1			1																				Y			Y		1	1	2	1	1		1	0		Schizophrene Patient*innen	Aufsuchende Dienste (Impfteams)	2	2	2									1	3										2																		1			1					1					1	1	1	2	2	1	1	1	1				Y	Y	Y	Y				Y					Y	Y				Y				
5	3	de	Y			Y	Y		Y				Y		2	2	1																						1			1			1			1								0		0		1		1			1			1																	Y			Y		1	1	1	1	1																																																																																													
6	9	de			Y										2	2	2																																							0		0		0		0																				Y	Y					Y		2	2	2	2	1		1	0		Schwere Psychosen und Depressionen, Demenzkranke	Die vorhandenen Strukturen (APP, Tagesstätten, ABW) sollten dazu ausreichen.	1	1	2	Y	Y	Y	Y					0																												1				1					1					2	1	2	2	1	1	1	0																										
8	9	de			Y		Y		Y				Y		3	2	1	1	1		1			1	1					1	1								1			1			1											2		2		2		1			1	1	1	1			1			1		1						Y	Y	Y		Y	Y			2	2	2	2	2		1	1	0			1	1	2	Y	Y		Y					1	2		Y								3																	1				1					1					1	1	1	1	1	1	1	1	2	Y			Y	Y	Y	Y				Y		Y			Y	Y			Y	Y				
9	9	de	Y			Y	Y		Y				Y		2	2	2																																							0		0		0		0																				Y	Y					Y		1	1	1	2	1		1	0				1	1	2				Y					0																													1	1	1	1							1	1	1	1	1	1	1	1	1	1	0																										
10	8	de			Y										2	2	2																																							2		2		2		1													1	1	1	1	1	1	"Abbruch sozialer Kontakte, Gruppentherapien waren unterbrochen und finden weiter nicht statt, Sport und soziale KOntakte, Vereine, Schwimmen als Aktivierung, Expositionstherapien bei Phobien, alles brach weg! Kein Reha-Sport, Vermeidungsstrategien waren plötzlich nicht nur toleriert, sondern erwünscht! Home-office - ein Patient igelte sich ein und konnte seine Internet-Sucht am Arbeitsplatz ausufern lassen, was schließlich zum Jobverlust führte etc...
Angstpatienten waren aber DEUTLICH ERLEICHTERT!"	Y	Y	Y				Y		2	1	2	2	1		1	0		Bein anankastischen, narzißtischen, schizoiden, schizophrenen Patient*innen	Läuft doch...	1	1	2				Y		Y			1	2	Y	Y		Y						3																		1			1					1					3	2	3	2	2	2	2	1	3		Y														Y	Y			Y	Y	Y			
12	9	de	Y				Y		Y				Y	Y	2	1	1																					1	1		1	1	1	1	1				1	1	1	1	1	1	Verschlimmerung der vorbestehenden Krankheitssymptome infolge der dauerhaften Anspannung bzw. sozialen Isolation	1	Angststörungen, Psychosomatische Dtörungen, wahnhafte Dtörungen, Major Depression	1	W.o. + ADHS	1	W.o. +ADHS + Sucht	1	1	1	1		1	1														Y	Y	Y				Y		1	1	1	1	2		1	1	0	Wahnhafte Störungen.  Mystisches Denken.	Dringliche Impfbescheinigung ausstellen, Hausarzt  oder Gesundheitsamt ggf informieren.	1	1	1				Y	Y	Y			1	3										1				Y														1	1				1	1			1		1		1	2	2	2	2	1	2	0																										Erhöhter Zeitbedarf und Verwaltungsaufwand.
13	9	de	Y												2	1	1																					1	1		1	1		1					1							2		2		2		1					1	1														Y						Y		2	1	1	1	1	nein	1	1	0	F20	mehr gesundheitliche Aufklärung, Teilhabe der schwerst psychisch Erkrankten ohnehin sehr erschwert, kaum gesellschaftliche positive Anreize durch Impfung	2	1	2	Y	Y		Y		Y			1	2	Y	Y								2																		1	1				1	1				1	1		2	2	1	2	2	2	2	1	3-4	Y				Y	Y	Y		Y		Y			Y		Y	Y			Y	Y	Y			
17	9	de	Y		Y	Y	Y		Y	Y		Y	Y		2	2	2																																							1	Alle Altersgruppen,  bekannte Pat., seltenere Vorstellung und Abwicklung der notwendigen Dinge per Telefon.	0		0		1	1	1	1	1	1	1										1	1	1	Notwendige stationäre oder tagesklinische Behandlungen konnten nicht organisiert werden. Pat. wurden vorfristig entlassen.	Y	Y				Y			2	2	2	2	2		1	1	0		Impfungen durch Hausärzte u.a. Fachgruppen.	1	1	1				Y					0																													1			1					1					1	3	1	3	3	3	3	0																										"Stark vermehrter Beratungsbedarf
Stark erhöhte Angstsymptomatik
Dekompensation labiler Pat.
erhöhte psychosoziale Belastung durch politische Maßnahmen"
18	9	de		Y											2	2	2																																							0		0		0		0																							Y			Y		1	1	1	1	1		0	0				2	2	2									0																												1		1				1	1		1					1	1	1	2	2	1	2	0																										Es gab einige Patienten mit erheblichen Ängsten vor einer COVID – Erkrankung. Mit Expositionsbehandlungen, aber auch infolge der Möglichkeiten einer Impfung konnten gute Remissionen erreicht werden.
